deduction_id,retailer_id,deduction_date,deduction_type,amount,code_as_remitted,translated_code,standardized_category,order_id,shipment_id,remittance_id,remittance_description,dispute_deadline,is_vague,is_post_audit,is_double_dip,dispute_outcome,recovered_amount,dispute_filed_date,dispute_closed_date,days_outstanding,in_trailing_window,is_ghost_promo
DED-0002646,walmart,2026-04-24,vague,1188.49,30,Duplicate Billing,vague,WALM-2026-001425,WALM-2026-001425-S1,REM-WALM-00069,Promo allowance,,1,0,0,,,,,,1,0
DED-0002651,walmart,2026-04-24,spoilage,748.55,29,Concealed damage / spoilage at receipt,spoilage,WALM-2026-001431,WALM-2026-001431-S1,REM-WALM-00069,Spoilage — damage in transit affecting condition,2027-04-24,0,0,0,,,,,,1,0
DED-0002654,walmart,2026-04-24,short_ship,463.05,13,Substitution Overcharge,short_ship,WALM-2026-001444,WALM-2026-001444-S1,REM-WALM-00069,Short ship: receiving hand-count 5 units short,2027-04-24,0,0,0,pending,0.0,2026-05-02,,8,1,0
DED-0002645,walmart,2026-04-24,short_ship,439.0,13,Substitution Overcharge,short_ship,WALM-2026-001425,WALM-2026-001425-S1,REM-WALM-00069,Short ship: 3 units missing,2027-04-24,0,0,0,,,,,,1,0
DED-0002650,walmart,2026-04-24,label_fine,263.16,,Unmapped,label_fine,WALM-2026-001431,WALM-2026-001431-S1,REM-WALM-00069,Label noncompliance — generic label not retailer-spec,,0,0,0,abandoned,0.0,2026-05-02,2026-06-05,42,1,0
DED-0001245,unfi,2026-04-23,vague,838.37,MSC,Miscellaneous deduction,vague,UNFI-2026-000847,UNFI-2026-000847-S1,REM-UNFI-00071,Code 87: Other,,1,0,0,,,,,,1,0
DED-0003006,whole_foods,2026-04-23,short_ship,252.69,SHRT,Shortage,short_ship,WHOL-2026-000858,WHOL-2026-000858-S1,REM-WHOL-00066,Short ship: 2 units missing,,0,0,0,,,,,,1,0
DED-0003007,whole_foods,2026-04-23,late_delivery,180.71,LATE,Late delivery,late_delivery,WHOL-2026-000858,WHOL-2026-000858-S1,REM-WHOL-00066,Late delivery — 2 days past window,,0,0,0,,,,,,1,0
DED-0001244,unfi,2026-04-23,short_ship,115.45,SHT,Shortage,short_ship,UNFI-2026-000847,UNFI-2026-000847-S1,REM-UNFI-00071,Short ship: 1 units missing,2026-06-22,0,0,0,pending,0.0,2026-05-02,,9,1,0
DED-0000804,southside_grocers,2026-04-23,short_ship,75.0,SHRT,Shortage,short_ship,SOUT-2026-000273,SOUT-2026-000273-S1,REM-SOUT-00038,Short ship: qty units missing,,0,0,0,,,,,,1,0
DED-0002659,walmart,2026-04-22,short_ship,370.32,13,Substitution Overcharge,short_ship,WALM-2026-001472,WALM-2026-001472-S1,REM-WALM-00069,Short ship: receiving hand-count 4 units short,2027-04-22,0,0,0,pending,0.0,2026-05-02,,10,1,0
DED-0002598,walmart,2026-04-22,label_fine,256.92,,Unmapped,label_fine,WALM-2026-001378,WALM-2026-001378-S1,REM-WALM-00069,Label noncompliance — generic label not retailer-spec,,0,0,0,,,,,,1,0
DED-0003001,whole_foods,2026-04-22,late_delivery,98.29,LATE,Late delivery,late_delivery,WHOL-2026-000829,WHOL-2026-000829-S1,REM-WHOL-00066,Late delivery — 1 days past window,,0,0,0,,,,,,1,0
DED-0000801,southside_grocers,2026-04-22,late_delivery,58.25,LATE,Late delivery,late_delivery,SOUT-2026-000264,SOUT-2026-000264-S1,REM-SOUT-00038,Late delivery — 2 days past window,,0,0,0,,,,,,1,0
DED-0000672,mountain_pantry_co,2026-04-22,late_delivery,56.89,LATE,Late delivery,late_delivery,MOUN-2026-000175,MOUN-2026-000175-S1,REM-MOUN-00034,Late delivery — 5 days past window,,0,0,0,,,,,,1,0
DED-0002595,walmart,2026-04-21,label_fine,304.67,,Unmapped,label_fine,WALM-2026-001373,WALM-2026-001373-S1,REM-WALM-00069,Label noncompliance — generic label not retailer-spec,,0,0,0,,,,,,1,0
DED-0002642,walmart,2026-04-21,label_fine,261.46,,Unmapped,label_fine,WALM-2026-001415,WALM-2026-001415-S1,REM-WALM-00069,Label noncompliance — generic label not retailer-spec,,0,0,0,lost_evidence,0.0,2026-05-02,2026-07-05,75,1,0
DED-0002591,walmart,2026-04-21,short_ship,243.78,13,Substitution Overcharge,short_ship,WALM-2026-001371,WALM-2026-001371-S1,REM-WALM-00069,Short ship: receiving hand-count 3 units short,2027-04-21,0,0,0,lost_evidence,0.0,2026-05-02,2026-05-31,40,1,0
DED-0002641,walmart,2026-04-21,short_ship,98.4,13,Substitution Overcharge,short_ship,WALM-2026-001415,WALM-2026-001415-S1,REM-WALM-00069,Short ship: 2 units missing,2027-04-21,0,0,0,,,,,,1,0
DED-0002669,walmart,2026-04-20,vague,3203.69,30,Duplicate Billing,vague,WALM-2026-001485,WALM-2026-001485-S1,REM-WALM-00069,Misc deduction — see invoice,,1,0,0,,,,,,1,0
DED-0000733,prairie_provisions,2026-04-20,vague,2015.06,MISC,Miscellaneous,vague,PRAI-2026-000230,PRAI-2026-000230-S1,REM-PRAI-00040,Audit adjustment,,1,0,0,,,,,,1,0
DED-0002668,walmart,2026-04-20,promo_billback,666.42,11,Price Difference Between PO & Invoice,promo_billback,WALM-2026-001485,WALM-2026-001485-S1,REM-WALM-00069,Promo billback (MCB / scan-down),2028-04-19,0,0,0,lost_evidence,0.0,2026-05-02,2026-05-25,35,1,0
DED-0000160,green_basket_market,2026-04-20,damaged,630.5,DMG,Damaged,damaged,GREE-2026-000269,GREE-2026-000269-S1,REM-GREE-00046,Damage at receiving — BOL signed damaged,,0,0,0,,,,,,1,0
DED-0002667,walmart,2026-04-20,short_ship,298.4,13,Substitution Overcharge,short_ship,WALM-2026-001485,WALM-2026-001485-S1,REM-WALM-00069,Short ship: receiving hand-count 4 units short,2027-04-20,0,0,0,lost_no_response,0.0,2026-05-02,2026-05-23,33,1,0
DED-0002656,walmart,2026-04-20,short_ship,251.53,13,Substitution Overcharge,short_ship,WALM-2026-001451,WALM-2026-001451-S1,REM-WALM-00069,Short ship: 2 units missing,2027-04-20,0,0,0,pending,0.0,2026-05-02,,12,1,0
DED-0000732,prairie_provisions,2026-04-20,short_ship,174.84,SHRT,Shortage,short_ship,PRAI-2026-000230,PRAI-2026-000230-S1,REM-PRAI-00040,Short ship: 3 units missing,,0,0,0,,,,,,1,0
DED-0000618,kehe,2026-04-19,vague,2998.61,BI,Connect BI fee (2% of sales),vague,,,REM-KEHE-00068,Audit adjustment,2026-10-16,1,0,0,lost_evidence,0.0,2026-05-02,2026-05-23,34,1,0
DED-0002630,walmart,2026-04-19,promo_billback,662.49,11,Price Difference Between PO & Invoice,promo_billback,WALM-2026-001404,WALM-2026-001404-S1,REM-WALM-00068,Promo billback (MCB / scan-down),2028-04-18,0,0,0,lost_no_response,0.0,2026-05-02,2026-06-16,58,1,0
DED-0003000,whole_foods,2026-04-19,promo_billback,555.28,PROMO,Promo billback,promo_billback,WHOL-2026-000828,WHOL-2026-000828-S1,REM-WHOL-00065,Promo billback (MCB / scan-down),,0,0,0,pending,0.0,2026-05-02,,13,1,0
DED-0000163,green_basket_market,2026-04-19,promo_billback,425.53,FFL,Free Fill new-item billback,promo_billback,GREE-2026-000286,GREE-2026-000286-S1,REM-GREE-00045,Promo billback (MCB / scan-down),,0,0,0,,,,,,1,0
DED-0002629,walmart,2026-04-19,short_ship,371.91,13,Substitution Overcharge,short_ship,WALM-2026-001404,WALM-2026-001404-S1,REM-WALM-00068,Short ship: receiving hand-count 4 units short,2027-04-19,0,0,0,pending,0.0,2026-05-02,,13,1,0
DED-0002573,walmart,2026-04-19,short_ship,332.97,13,Substitution Overcharge,short_ship,WALM-2026-001354,WALM-2026-001354-S1,REM-WALM-00068,Short ship: 4 units missing,2027-04-19,0,0,0,lost_evidence,0.0,2026-05-02,2026-07-13,85,1,0
DED-0002579,walmart,2026-04-19,short_ship,314.15,13,Substitution Overcharge,short_ship,WALM-2026-001361,WALM-2026-001361-S1,REM-WALM-00068,Short ship: receiving hand-count 3 units short,2027-04-19,0,0,0,,,,,,1,0
DED-0002647,walmart,2026-04-19,short_ship,292.68,13,Substitution Overcharge,short_ship,WALM-2026-001427,WALM-2026-001427-S1,REM-WALM-00068,Short ship: receiving hand-count 3 units short,2027-04-19,0,0,0,,,,,,1,0
DED-0002648,walmart,2026-04-19,label_fine,269.91,,Unmapped,label_fine,WALM-2026-001427,WALM-2026-001427-S1,REM-WALM-00068,Label noncompliance — generic label not retailer-spec,,0,0,0,pending,0.0,2026-05-02,,13,1,0
DED-0000617,kehe,2026-04-19,promo_billback,148.81,MCB,Manufacturer Chargeback (promo),promo_billback,KEHE-2026-000733,KEHE-2026-000733-S1,REM-KEHE-00068,Promo billback (MCB / scan-down),2026-10-16,0,0,0,,,,,,1,1
DED-0002971,whole_foods,2026-04-19,late_delivery,91.61,LATE,Late delivery,late_delivery,WHOL-2026-000755,WHOL-2026-000755-S1,REM-WHOL-00065,Late delivery — 1 days past window,,0,0,0,,,,,,1,0
DED-0000616,kehe,2026-04-19,short_ship,83.43,UDR,Unloading Discrepancy (shortage/over/damage),short_ship,KEHE-2026-000733,KEHE-2026-000733-S1,REM-KEHE-00068,Short ship: 2 units missing,2026-04-21,0,0,0,lost_deadline,0.0,2026-05-02,2026-06-04,46,1,0
DED-0000216,harbor_fresh,2026-04-18,vague,4440.01,MISC,Miscellaneous,vague,,,REM-HARB-00036,Trade spend true-up,,1,0,0,pending,0.0,2026-05-02,,14,1,0
DED-0001242,unfi,2026-04-18,promo_billback,589.93,MCB,Manufacturer chargeback (promo),promo_billback,UNFI-2026-000844,UNFI-2026-000844-S1,REM-UNFI-00070,Promo billback (MCB / scan-down),2026-06-17,0,0,0,pending,0.0,2026-05-02,,14,1,0
DED-0002637,walmart,2026-04-18,late_delivery,503.61,99,OTIF,late_delivery,WALM-2026-001408,WALM-2026-001408-S1,REM-WALM-00068,Late delivery — 1 days past window,,0,0,0,pending,0.0,2026-05-02,,14,1,0
DED-0002636,walmart,2026-04-18,short_ship,440.23,13,Substitution Overcharge,short_ship,WALM-2026-001408,WALM-2026-001408-S1,REM-WALM-00068,Short ship: 3 units missing,2027-04-18,0,0,0,lost_no_response,0.0,2026-05-02,2026-06-21,64,1,0
DED-0002613,walmart,2026-04-18,short_ship,391.63,13,Substitution Overcharge,short_ship,WALM-2026-001389,WALM-2026-001389-S1,REM-WALM-00068,Short ship: 3 units missing,2027-04-18,0,0,0,won_full,391.63,2026-05-02,2026-07-18,91,1,0
DED-0002662,walmart,2026-04-18,promo_billback,349.2,11,Price Difference Between PO & Invoice,promo_billback,WALM-2026-001478,WALM-2026-001478-S1,REM-WALM-00068,Promo billback (MCB / scan-down),2028-04-17,0,0,0,,,,,,1,0
DED-0002661,walmart,2026-04-18,pallet_fine,203.57,,Unmapped,pallet_fine,WALM-2026-001478,WALM-2026-001478-S1,REM-WALM-00068,Pallet noncompliance,,0,0,0,,,,,,1,0
DED-0001257,unfi,2026-04-18,short_ship,96.01,SHT,Shortage,short_ship,UNFI-2026-000876,UNFI-2026-000876-S1,REM-UNFI-00070,Short ship: 1 units missing,2026-06-17,0,0,0,pending,0.0,2026-05-02,,14,1,0
DED-0000671,mountain_pantry_co,2026-04-18,short_ship,80.79,SHRT,Shortage,short_ship,MOUN-2026-000170,MOUN-2026-000170-S1,REM-MOUN-00033,Short ship: qty units missing,,0,0,0,,,,,,1,0
DED-0000215,harbor_fresh,2026-04-18,late_delivery,32.66,LATE,Late delivery,late_delivery,HARB-2026-000163,HARB-2026-000163-S1,REM-HARB-00036,Late delivery — 1 days past window,,0,0,0,,,,,,1,0
DED-0002556,walmart,2026-04-17,spoilage,1040.35,29,Concealed damage / spoilage at receipt,spoilage,WALM-2026-001334,WALM-2026-001334-S1,REM-WALM-00068,Spoilage — expired or short-dated at receiving,2027-04-17,0,0,0,pending,0.0,2026-05-02,,15,1,0
DED-0002989,whole_foods,2026-04-17,promo_billback,427.43,PROMO,Promo billback,promo_billback,WHOL-2026-000798,WHOL-2026-000798-S1,REM-WHOL-00065,Promo billback (MCB / scan-down),,0,0,0,won_partial,146.76,2026-05-02,2026-07-18,92,1,0
DED-0002627,walmart,2026-04-17,label_fine,290.52,,Unmapped,label_fine,WALM-2026-001403,WALM-2026-001403-S1,REM-WALM-00068,Label noncompliance — generic label not retailer-spec,,0,0,0,lost_evidence,0.0,2026-05-02,2026-05-30,43,1,0
DED-0002666,walmart,2026-04-17,label_fine,275.21,,Unmapped,label_fine,WALM-2026-001482,WALM-2026-001482-S1,REM-WALM-00068,Label noncompliance — generic label not retailer-spec,,0,0,0,lost_no_response,0.0,2026-05-02,2026-06-29,73,1,0
DED-0002628,walmart,2026-04-17,pallet_fine,208.09,,Unmapped,pallet_fine,WALM-2026-001403,WALM-2026-001403-S1,REM-WALM-00068,Pallet noncompliance,,0,0,0,lost_evidence,0.0,2026-05-02,2026-06-17,61,1,0
DED-0002995,whole_foods,2026-04-17,vague,207.34,MISC,Miscellaneous,vague,,,REM-WHOL-00065,Code 95: Other,,1,0,0,,,,,,1,0
DED-0002621,walmart,2026-04-17,short_ship,175.03,13,Substitution Overcharge,short_ship,WALM-2026-001398,WALM-2026-001398-S1,REM-WALM-00068,Short ship: 2 units missing,2027-04-17,0,0,0,pending,0.0,2026-05-02,,15,1,0
DED-0002665,walmart,2026-04-17,short_ship,105.36,13,Substitution Overcharge,short_ship,WALM-2026-001482,WALM-2026-001482-S1,REM-WALM-00068,Short ship: 1 units missing,2027-04-17,0,0,0,won_full,105.36,2026-05-02,2026-07-25,99,1,0
DED-0002583,walmart,2026-04-16,short_ship,451.76,13,Substitution Overcharge,short_ship,WALM-2026-001364,WALM-2026-001364-S1,REM-WALM-00068,Short ship: receiving hand-count 4 units short,2027-04-16,0,0,0,pending,0.0,2026-05-02,,16,1,0
DED-0003005,whole_foods,2026-04-16,spoilage,358.74,SPL,Spoilage / quality at receipt,spoilage,WHOL-2026-000852,WHOL-2026-000852-S1,REM-WHOL-00065,Spoilage — expired or short-dated at receiving,,0,0,0,,,,,,1,0
DED-0002987,whole_foods,2026-04-16,short_ship,87.34,SHRT,Shortage,short_ship,WHOL-2026-000791,WHOL-2026-000791-S1,REM-WHOL-00065,Short ship: 1 units missing,,0,0,0,,,,,,1,0
DED-0000610,kehe,2026-04-16,label_fine,83.09,LBL,Labeling noncompliance,label_fine,KEHE-2026-000719,KEHE-2026-000719-S1,REM-KEHE-00068,Label noncompliance — generic label not retailer-spec,2026-10-13,0,0,0,,,,,,1,0
DED-0002986,whole_foods,2026-04-16,late_delivery,64.78,LATE,Late delivery,late_delivery,WHOL-2026-000789,WHOL-2026-000789-S1,REM-WHOL-00065,Late delivery — 4 days past window,,0,0,0,,,,,,1,0
DED-0003072,kehe,2026-04-15,promo_billback,2751.18,EP,Event Promotion fee,promo_billback,,,REM-KEHE-00068,Post-audit allowance reconciliation — period 2023-11-23 to 2024-11-07,2026-10-12,0,1,0,,,,,,1,1
DED-0001241,unfi,2026-04-15,spoilage,1433.29,UNS,Unsaleable / spoilage,spoilage,UNFI-2026-000837,UNFI-2026-000837-S1,REM-UNFI-00070,Spoilage — damage in transit affecting condition,2026-06-14,0,0,0,won_full,1433.29,2026-05-02,2026-07-31,107,1,0
DED-0001240,unfi,2026-04-15,spoilage,1156.84,UNS,Unsaleable / spoilage,spoilage,UNFI-2026-000836,UNFI-2026-000836-S1,REM-UNFI-00070,Spoilage — temperature abuse in transit,2026-06-14,0,0,0,pending,0.0,2026-05-02,,17,1,0
DED-0003003,whole_foods,2026-04-15,spoilage,749.54,SPL,Spoilage / quality at receipt,spoilage,WHOL-2026-000844,WHOL-2026-000844-S1,REM-WHOL-00065,Spoilage — temperature abuse in transit,,0,0,0,,,,,,1,0
